id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s21,experience,28,0.8571429,4.7,4.3,6,p-bet,42,5,l
s21,experience,29,0.16666667,12,3,2,$-bet,12,3,s
s21,experience,30,0.8,4,3,4,p-bet,15,4,m
s21,experience,31,0.16666667,12,2.5,2,$-bet,6,3,xs
s21,experience,32,0.8333333,2.4,1.8,5,p-bet,6,3,xs
s21,experience,33,0.2,16,4,1,$-bet,15,4,m
s21,experience,34,0.1428571,28,5.5,3,$-bet,7,2,xs
s21,experience,35,0.8571429,4.7,3.5,6,p-bet,21,4,m
s21,experience,36,0.16666667,12,2.4,2,$-bet,12,3,s
s21,experience,37,0.2,16,3.2,1,$-bet,5,3,xs
s21,experience,39,0.8333333,2.4,2,5,p-bet,6,4,xs
s21,experience,40,0.8571429,4.7,3.8,6,p-bet,21,4,m
s21,experience,42,0.8571429,4.7,3.5,6,p-bet,7,4,xs
s21,experience,43,0.2,16,3,1,$-bet,10,4,s
s21,experience,44,0.2,16,3,1,$-bet,30,4,l
s21,experience,45,0.8333333,2.4,2,5,p-bet,36,5,l
s21,experience,46,0.1428571,28,4,3,$-bet,42,4,l
s21,experience,47,0.8571429,4.7,3.5,6,p-bet,14,4,s
s21,experience,48,0.16666667,12,3,2,$-bet,18,3,m
s21,experience,49,0.8333333,2.4,1.8,5,p-bet,12,4,s
s21,experience,50,0.8571429,4.7,3.8,6,p-bet,14,4,s
s21,experience,51,0.8,4,2.7,4,p-bet,10,4,s
s21,experience,52,0.8,4,3,4,p-bet,30,4,l
s21,experience,53,0.16666667,12,2.4,2,$-bet,6,3,xs
s21,experience,54,0.2,16,3.5,1,$-bet,15,3,m
s21,experience,55,0.1428571,28,4,3,$-bet,21,4,m
s21,experience,56,0.1428571,28,6,3,$-bet,7,4,xs
s21,experience,59,0.16666667,12,2.5,2,$-bet,18,4,m
s21,experience,60,0.8571429,4.7,3.5,6,p-bet,42,4,l
s21,experience,62,0.1428571,28,3,3,$-bet,42,4,l
