id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s77,experience,72,2,$-bet,0.16666667,12,l,36,3,6
s77,experience,73,3,$-bet,0.1428571,28,s,14,4,6
s77,experience,74,2,$-bet,0.16666667,12,s,12,3,6
s77,experience,75,3,$-bet,0.1428571,28,m,21,3.1,6
s77,experience,76,4,p-bet,0.8,4,l,30,3,6
s77,experience,77,5,p-bet,0.8333333,2.4,l,36,2,6
s77,experience,78,1,$-bet,0.2,16,l,30,3,6
s77,experience,79,4,p-bet,0.8,4,l,30,3,6
s77,experience,80,6,p-bet,0.8571429,4.7,l,42,4.5,6
s77,experience,81,3,$-bet,0.1428571,28,l,42,3,6
s77,experience,82,2,$-bet,0.16666667,12,s,12,2,6
s77,experience,83,3,$-bet,0.1428571,28,xs,7,3,6
s77,experience,84,2,$-bet,0.16666667,12,xs,6,2,6
s77,experience,85,3,$-bet,0.1428571,28,l,42,4,6
s77,experience,86,5,p-bet,0.8333333,2.4,m,18,2,6
s77,experience,87,5,p-bet,0.8333333,2.4,s,12,2,6
s77,description,1,6,p-bet,0.857,4.7,--,,4.5,6
s77,description,2,2,$-bet,0.167,12,--,,2.9,6
s77,description,3,3,$-bet,0.143,28,--,,2,6
s77,description,4,3,$-bet,0.143,28,--,,2,6
s77,description,5,5,p-bet,0.833,2.4,--,,2.3,6
s77,description,6,3,$-bet,0.143,28,--,,2,6
s77,description,7,5,p-bet,0.833,2.4,--,,2,6
s77,description,8,4,p-bet,0.8,4,--,,3,6
s77,description,9,2,$-bet,0.167,12,--,,2,6
s77,description,10,5,p-bet,0.833,2.4,--,,2.3,6
s77,description,11,2,$-bet,0.167,12,--,,2,6
s77,description,12,1,$-bet,0.2,16,--,,4,6
s77,description,13,4,p-bet,0.8,4,--,,3.2,6
s77,description,14,6,p-bet,0.857,4.7,--,,4.5,6
s77,description,15,6,p-bet,0.857,4.7,--,,4.5,6
s77,description,16,1,$-bet,0.2,16,--,,4,6
s77,description,17,1,$-bet,0.2,16,--,,4,6
s77,description,18,4,p-bet,0.8,4,--,,3.4,6
s78,experience,1,2,$-bet,0.16666667,12,m,18,5,3
s78,experience,2,4,p-bet,0.8,4,m,15,3,4
s78,experience,4,5,p-bet,0.8333333,2.4,m,18,2,3
s78,experience,6,6,p-bet,0.8571429,4.7,s,14,3,3
s78,experience,7,1,$-bet,0.2,16,xs,5,3,2
s78,experience,8,4,p-bet,0.8,4,xs,5,0.5,2
s78,experience,9,5,p-bet,0.8333333,2.4,l,36,2,3
s78,experience,11,4,p-bet,0.8,4,m,15,1,2
s78,experience,12,6,p-bet,0.8571429,4.7,m,21,4,3
s78,experience,13,3,$-bet,0.1428571,28,l,42,2,2
s78,experience,14,2,$-bet,0.16666667,12,xs,6,4,2
s78,experience,15,1,$-bet,0.2,16,l,30,6,2
s78,experience,18,3,$-bet,0.1428571,28,xs,7,10,2
s78,experience,19,5,p-bet,0.8333333,2.4,m,18,1,1
s78,experience,20,6,p-bet,0.8571429,4.7,m,21,4,2
s78,experience,22,6,p-bet,0.8571429,4.7,m,21,4,2
s78,experience,23,2,$-bet,0.16666667,12,l,36,3,2
